Portfolio,Alpha_Monthly,Alpha_Annual_Pct,P_Value,Significant
Upgrade (VW),4.987488808279419e-4,0.5984986569935302,0.8789316526628174,
Downgrade (VW),-0.004855239793630376,-5.826287752356451,0.08374739561712709,*
